room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
5413631,2638586,Entire home/apt,NA,NA,NA,"Belgrano, Buenos Aires",1,0,2,2,NA,1059,0,NA,2017-07-07T11:40:13Z,-34.55862,-58.458671,1,0101000020E6100000D34F38BBB53A4DC01D7233DC804741C0,NA,{},Apartamento 2 huespedes en Belgrano,Apartment,ARS,nightly
763207,1409800,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",36,5,3,1,NA,2114,0,NA,2017-07-10T15:36:59Z,-34.579138,-58.440144,1,0101000020E6100000EBC37AA356384DC078EFA831214A41C0,NA,{en},Stunning Duplex Brand New!!,Apartment,ARS,nightly
540068,2165936,Entire home/apt,NA,NA,NA,"San Telmo, Buenos Aires",30,4.5,2,1,NA,1585,0,NA,2017-07-10T15:36:59Z,-34.616224,-58.372735,1,0101000020E61000008B89CDC7B52F4DC05281936DE04E41C0,NA,"{en,fr}",Studio/2 private terraces/SanTelmo!,Apartment,ARS,nightly
3401285,16000925,Entire home/apt,NA,NA,NA,"Chacarita, Buenos Aires",8,5,2,0,NA,1147,0,NA,2017-07-07T13:07:15Z,-34.582543,-58.446088,1,0101000020E6100000AC915D6919394DC0C2C1DEC4904A41C0,NA,"{en,sv}",Modern Studio with balcony ,Apartment,ARS,nightly
616262,3051389,Entire home/apt,NA,NA,NA,"Belgrano, Buenos Aires",1,0,4,1,NA,1306,0,NA,2017-07-07T11:40:13Z,-34.552974,-58.45378,1,0101000020E610000019CA8976153A4DC0E7C41EDAC74641C0,NA,"{de,en,fr}",New Luminous Apartment in Belgrano,Apartment,ARS,nightly
10227265,1875949,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",5,4,2,0,NA,1271,0,NA,2017-07-07T13:07:15Z,-34.584548,-58.440052,1,0101000020E61000000B45BA9F53384DC09A780778D24A41C0,NA,"{en,fr}",Beatiful Studio w/ swimming pool,Apartment,ARS,nightly
6093453,91936,Entire home/apt,NA,NA,NA,"Monserrat, Buenos Aires",43,4.5,5,3,NA,1218,0,NA,2017-07-07T13:56:18Z,-34.609898,-58.383676,1,0101000020E61000004B21904B1C314DC0AAF23D23114E41C0,NA,{},Sophistication in Historic BA,Apartment,ARS,nightly
13432794,13812647,Entire home/apt,NA,NA,NA,"Balvanera, Buenos Aires",9,5,6,3,NA,1938,0,NA,2017-07-10T15:36:59Z,-34.599733,-58.403028,1,0101000020E6100000A7AFE76B96334DC07EAA0A0DC44C41C0,NA,"{en,fr}",Historic apt w/modern amenities near city center,Apartment,ARS,nightly
19414040,102900768,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",0,0,2,1,NA,2114,0,NA,2017-07-10T15:36:59Z,-34.583931,-58.431116,1,0101000020E6100000246420CF2E374DC06F0F4240BE4A41C0,NA,{en},Urbano Loft,Loft,ARS,nightly
10768029,54844979,Entire home/apt,NA,NA,NA,"Belgrano, Buenos Aires",0,0,3,1,NA,1500,0,NA,2017-07-07T11:41:07Z,-34.563478,-58.454438,1,0101000020E6100000A3073E062B3A4DC0FC010F0C204841C0,NA,{},"Depto 2 ambientes
Linda zona",Apartment,ARS,nightly
17418109,66448086,Entire home/apt,NA,NA,NA,Buenos Aires,1,0,4,2,NA,1691,0,NA,2017-07-10T15:36:59Z,-34.617897,-58.360791999999996,1,0101000020E61000004754A86E2E2E4DC0F4A5B73F174F41C0,NA,{},Beautiful 2 bedroom apartment in Puerto Madero,Apartment,ARS,nightly
15297566,97397235,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",5,5,6,3,NA,2466,0,NA,2017-07-10T15:36:59Z,-34.583442,-58.443652,1,0101000020E61000000A67B796C9384DC0718E3A3AAE4A41C0,NA,"{en,pt}",The Boutique House,House,ARS,nightly
8282599,3469227,Entire home/apt,NA,NA,NA,"Belgrano, Buenos Aires",2,0,3,1,NA,1235,0,NA,2017-07-07T11:41:07Z,-34.564685,-58.456007,1,0101000020E6100000A0DFF76F5E3A4DC058C51B99474841C0,NA,{},Apartamento en Belgrano P/ 3 Pers.,Apartment,ARS,nightly
8975486,21721490,Entire home/apt,NA,NA,NA,"Belgrano, Buenos Aires",12,4.5,6,3,NA,1218,0,NA,2017-07-07T11:41:07Z,-34.56172,-58.443477,1,0101000020E61000009CC3B5DAC3384DC02BC1E270E64741C0,NA,"{en,fr,pt}",6 Guests Apartment in Belgrano,Apartment,ARS,nightly
19344264,7786587,Entire home/apt,NA,NA,NA,Belgrano,0,0,2,0,NA,1147,0,NA,2017-07-07T11:41:07Z,-34.563989,-58.456356,1,0101000020E6100000ACAA97DF693A4DC0E126A3CA304841C0,NA,{},Precioso dpto para 2 personas en Belgrano,Apartment,ARS,nightly
2483123,2638586,Entire home/apt,NA,NA,NA,"Belgrano, Buenos Aires",0,0,4,2,NA,1059,0,NA,2017-07-07T11:41:07Z,-34.559723,-58.45775,1,0101000020E61000003BDF4F8D973A4DC0D5E8D500A54741C0,NA,{},Departamento 4 huespedes en Belgran,Apartment,ARS,nightly
3760072,458852,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",62,4.5,2,1,NA,1585,0,NA,2017-07-10T15:36:59Z,-34.569292,-58.430144,1,0101000020E61000000A4966F50E374DC0EDEF6C8FDE4841C0,NA,{en},EXCELLENT & EXCLUSIVE APARTMENT,Apartment,ARS,nightly
3930995,20365252,Entire home/apt,NA,NA,NA,"Belgrano, Buenos Aires",0,0,2,2,NA,1165,0,NA,2017-07-07T11:41:07Z,-34.553521,-58.45181,1,0101000020E6100000BD00FBE8D4394DC01A53B0C6D94641C0,NA,{},Loft nr FADU/FCEN UBA DiTella River,Loft,ARS,nightly
8923937,5597544,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",24,5,4,2,NA,2290,0,NA,2017-07-10T15:36:59Z,-34.576795,-58.437403,1,0101000020E61000000E164ED2FC374DC087BF266BD44941C0,NA,{en},PENTHOUSE w/Terrace Panoramic Views,Apartment,ARS,nightly
65446,319901,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",110,5,2,1,NA,2114,0,NA,2017-07-10T15:36:59Z,-34.580923,-58.425153,1,0101000020E6100000ED65DB696B364DC0423F53AF5B4A41C0,NA,"{de,en}",Luxury Premier Loft with Breathtaking Views  ★★★★★,Apartment,ARS,nightly
4471203,23197838,Entire home/apt,NA,NA,NA,"Belgrano, Buenos Aires",0,0,2,1,NA,1500,0,NA,2017-07-07T11:41:07Z,-34.556282,-58.449173,1,0101000020E6100000849F38807E394DC03FADA23F344741C0,NA,{en},Beautiful apartment in Belgrano,Apartment,ARS,nightly
1540792,2774579,Entire home/apt,NA,NA,NA,Buenos Aires,0,0,4,1,NA,1059,0,NA,2017-07-07T11:41:07Z,-34.567174,-58.476586,1,0101000020E6100000A0DD21C5003D4DC01D925A28994841C0,NA,{},Loft style apartment with terrace! ,Apartment,ARS,nightly
16724855,2796153,Entire home/apt,NA,NA,NA,"Recoleta, Buenos Aires",12,5,7,4,NA,3171,0,NA,2017-07-10T15:37:05Z,-34.591023,-58.391126,1,0101000020E6100000C24EB16A10324DC0871744A4A64B41C0,NA,"{en,hu}",Beautiful 4 bedroom apartment in Recoleta,Apartment,ARS,nightly
16147157,1483117,Entire home/apt,NA,NA,NA,"Chacarita, Buenos Aires",0,0,4,2,NA,1288,0,NA,2017-07-07T13:07:15Z,-34.587873,-58.441173,1,0101000020E610000069705B5B78384DC0C899266C3F4B41C0,NA,{},Paradise in the city,House,ARS,nightly
3763131,19274645,Entire home/apt,NA,NA,NA,"Belgrano, Buenos Aires",0,0,2,1,NA,1235,0,NA,2017-07-07T11:41:18Z,-34.560268,-58.462008,1,0101000020E6100000C43E0114233B4DC0677FA0DCB64741C0,NA,{en},Nice Apartment in Luxury Tower,Apartment,ARS,nightly
13921441,1482817,Entire home/apt,NA,NA,NA,"Belgrano, Buenos Aires",0,0,5,2,NA,1412,0,NA,2017-07-07T11:41:18Z,-34.561592,-58.459507,1,0101000020E61000003CA41820D13A4DC0FDD8243FE24741C0,NA,"{en,fr,it,pt}",5 guests Buenos Aires safe area well connected,Apartment,ARS,nightly
15390693,92501526,Entire home/apt,NA,NA,NA,"Recoleta, Buenos Aires",0,0,2,1,NA,1744,0,NA,2017-07-10T15:37:05Z,-34.593298,-58.402667,1,0101000020E6100000D7169E978A334DC01F645930F14B41C0,NA,"{en,pt}",Great apartment in Recoleta!!,Apartment,ARS,nightly
5381650,27780145,Entire home/apt,NA,NA,NA,"Chacarita, Buenos Aires",1,0,4,2,NA,1235,0,NA,2017-07-07T13:07:15Z,-34.588187,-58.449456,1,0101000020E6100000D87E32C687394DC057772CB6494B41C0,NA,{},Espacioso apto. equipado Chacarita,Apartment,ARS,nightly
2824383,14448902,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",27,5,4,2,NA,3523,0,NA,2017-07-10T15:37:05Z,-34.590007,-58.427307,1,0101000020E61000000A2DEBFEB1364DC09EB47059854B41C0,NA,"{en,fr}",Exquisite Penthouse w/ Private Terrace,Condominium,ARS,nightly
18684474,55553719,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",0,0,2,0,NA,1235,0,NA,2017-07-07T13:07:36Z,-34.584694,-58.442634,1,0101000020E6100000800C1D3BA8384DC06E15C440D74A41C0,NA,{},Studio para 2 con balcon en Palermo.,Apartment,ARS,nightly
5716613,12122305,Entire home/apt,NA,NA,NA,"Recoleta, Buenos Aires",21,4.5,13,5,NA,1762,0,NA,2017-07-10T15:37:05Z,-34.587887,-58.385715,1,0101000020E6100000CF49EF1B5F314DC02D5F97E13F4B41C0,NA,{en},HUGE 5BED  RECOLETA PALACE (AL4),Apartment,ARS,nightly
920648,4948278,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",28,5,6,3,NA,4633,0,NA,2017-07-10T15:37:05Z,-34.594982,-58.427582,1,0101000020E6100000DC2DC901BB364DC0B6DAC35E284C41C0,NA,{},Modern Luxury Home Perfect for Couples & Families,House,ARS,nightly
13558620,60946217,Entire home/apt,NA,NA,NA,"Chacarita, Buenos Aires",1,0,2,1,NA,1235,0,NA,2017-07-07T13:07:36Z,-34.58978,-58.446522,1,0101000020E6100000E67805A227394DC0DDEA39E97D4B41C0,NA,{},Beautifull recycled house in Villa Crespo,House,ARS,nightly
5361658,27780145,Entire home/apt,NA,NA,NA,"Chacarita, Buenos Aires",3,5,3,2,NA,1059,0,NA,2017-07-07T13:07:36Z,-34.586828,-58.449666,1,0101000020E6100000C30FCEA78E394DC044300E2E1D4B41C0,NA,{},Bello apto. de 2 plantas Chacarita,Apartment,ARS,nightly
1385058,7495681,Entire home/apt,NA,NA,NA,"Recoleta, Buenos Aires",79,5,4,2,NA,2290,0,NA,2017-07-10T15:37:05Z,-34.587907,-58.386384,1,0101000020E61000004DD9E90775314DC0740B5D89404B41C0,NA,{en},RENOVATED FRENCH 2BR IN RECOLETA,Apartment,ARS,nightly
45498,75891,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",73,5,4,2,NA,2114,0,NA,2017-07-10T15:37:05Z,-34.58284,-58.442057,1,0101000020E6100000E3FBE25295384DC07B6649809A4A41C0,NA,{},"LUXURY DUPLEX, fully equipped, 2Bd, pool & terrace",Apartment,ARS,nightly
8444391,24231645,Entire home/apt,NA,NA,NA,"Chacarita, Buenos Aires",4,4.5,2,1,NA,1147,0,NA,2017-07-07T13:07:36Z,-34.588951,-58.439249,1,0101000020E61000007DE6AC4F39384DC027F911BF624B41C0,NA,{},Apartamento Luminoso con Terraza 6,Apartment,ARS,nightly
15609948,55553719,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",1,0,4,1,NA,1235,0,NA,2017-07-07T13:07:36Z,-34.583834,-58.444118,1,0101000020E610000050C8CEDBD8384DC07D259012BB4A41C0,NA,{},Moderno apartamento en Palermo para 4 personas,Apartment,ARS,nightly
2677329,582395,Entire home/apt,NA,NA,NA,"Chacarita, Buenos Aires",3,3.5,6,2,NA,1147,0,NA,2017-07-07T13:07:36Z,-34.584498,-58.450259,1,0101000020E610000066DD3F16A2394DC0E94999D4D04A41C0,NA,{en},"ph en chacarita , con bicletas",Apartment,ARS,nightly
15768452,28073869,Entire home/apt,NA,NA,NA,"San Telmo, Buenos Aires",16,5,5,3,NA,1585,0,NA,2017-07-10T15:37:05Z,-34.622303,-58.368758,1,0101000020E6100000B6114F76332F4DC0F299EC9FA74F41C0,NA,{},San Telmo/ Unique House with garden fully equiped,House,ARS,nightly
10752452,3671357,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",3,4.5,5,2,NA,1412,0,NA,2017-07-07T10:54:37Z,-34.585011,-58.420838,1,0101000020E610000000750305DE354DC06F66F4A3E14A41C0,NA,{},Comfortable and bright apartment in Palermo Soho,Apartment,ARS,nightly
382271,1538637,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",30,4.5,2,1,NA,1059,0,NA,2017-07-07T10:54:37Z,-34.587132,-58.424301,1,0101000020E61000007E54C37E4F364DC0B0373124274B41C0,NA,{en},Impecable estudio en Palermo Soho C,Apartment,ARS,nightly
8667888,15900304,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",7,4.5,2,0,NA,1412,0,NA,2017-07-07T10:54:37Z,-34.590657,-58.418626,1,0101000020E6100000AEA0698995354DC0A51309A69A4B41C0,NA,{en},Great studio in Palermo I,Apartment,ARS,nightly
18647226,13426,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",0,0,5,3,NA,8543,0,NA,2017-07-10T16:28:25Z,-34.58823,-58.432469,1,0101000020E610000054C4E9245B374DC05743E21E4B4B41C0,NA,{en},"Beautiful 3 Bedroom Villa, Great Outdoor Spaces",House,ARS,nightly
13182878,11776584,Entire home/apt,NA,NA,NA,Buenos Aires,6,5,2,1,NA,2642,0,NA,2017-07-10T15:37:05Z,-34.611332,-58.362236,1,0101000020E610000089B7CEBF5D2E4DC0C77F8120404E41C0,NA,{en},Incredible view in Puerto Madero!,Apartment,ARS,nightly
525392,1853733,Entire home/apt,NA,NA,NA,Autonomous City buenos Aires.,6,5,3,1,NA,1412,0,NA,2017-07-07T10:54:37Z,-34.588256,-58.421523,1,0101000020E610000083C13577F4354DC080D6FCF84B4B41C0,NA,"{en,fr}",Flat with swimming pool in Palermo,Apartment,ARS,nightly
3069394,418520,Entire home/apt,NA,NA,NA,"Belgrano, Buenos Aires",26,5,4,1,NA,1673,0,NA,2017-07-10T15:37:05Z,-34.569496,-58.460504,1,0101000020E6100000AED689CBF13A4DC0F699B33EE54841C0,NA,"{en,it}",Stylish Design Loft in Belgrano,Loft,ARS,nightly
13622672,60514477,Entire home/apt,NA,NA,NA,"Monserrat, Buenos Aires",4,5,5,3,NA,1053,0,NA,2017-07-08T12:08:45Z,-34.614731,-58.390068,1,0101000020E6100000AA9B8BBFED314DC02F6B6281AF4E41C0,NA,{},Departamento con estilo TANGO. excelente dpto.,Apartment,ARS,nightly
16981884,16105034,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",0,0,2,1,NA,1324,0,NA,2017-07-07T13:07:36Z,-34.582142,-58.432928,1,0101000020E6100000E7C2482F6A374DC063D009A1834A41C0,NA,"{en,it,pt}",New luminous apartment in Palermo Hollywood.,Apartment,ARS,nightly
19548478,66038849,Entire home/apt,NA,NA,NA,Recoleta,0,0,5,2,NA,2202,0,NA,2017-07-10T15:37:05Z,-34.588148,-58.386549,1,0101000020E610000098A608707A314DC0999A046F484B41C0,NA,{},Duplex en la mejor zona de Recoleta,Apartment,ARS,nightly
16752297,5428370,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",7,5,5,3,NA,2642,0,NA,2017-07-10T15:37:05Z,-34.584556,-58.436315,1,0101000020E61000008BE07F2BD9374DC01D5723BBD24A41C0,NA,{},Amazing HOUSE in Palermo Hollywood,House,ARS,nightly
9117735,7879252,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",48,5,4,2,NA,1585,0,NA,2017-07-10T15:37:05Z,-34.582399,-58.442339,1,0101000020E6100000675F79909E384DC08F1CE90C8C4A41C0,NA,{en},"New!! Palermo! 2 dormitorios,4 pax.",Apartment,ARS,nightly
19521057,4442974,Entire home/apt,NA,NA,NA,Chacarita,0,0,2,1,NA,1094,0,NA,2017-07-07T13:08:06Z,-34.583228,-58.446259,1,0101000020E6100000D845D1031F394DC0450E1137A74A41C0,NA,"{en,pt,he}",Lovely 1-bedroom w/ rooftop garden & pool(ID#3454),Apartment,ARS,nightly
17807190,104897600,Entire home/apt,NA,NA,NA,"Retiro, Buenos Aires",0,0,3,2,NA,2043,0,NA,2017-07-10T15:37:05Z,-34.597283,-58.377395,1,0101000020E61000004356B77A4E304DC077BAF3C4734C41C0,NA,{en},2 Bedroom Apartment - Top Rentals,Serviced apartment,ARS,nightly
16751692,80107475,Entire home/apt,NA,NA,NA,"Balvanera, Buenos Aires",0,0,5,3,NA,1762,0,NA,2017-07-10T15:54:40Z,-34.601086,-58.400658,1,0101000020E6100000BD70E7C248334DC0AF0AD462F04C41C0,NA,"{en,nl,zh}",Fully equipped appartment for rent,Apartment,ARS,nightly
361774,75891,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",75,5,4,2,NA,2114,0,NA,2017-07-10T15:37:05Z,-34.582321,-58.442042,1,0101000020E6100000AEBA0ED594384DC01363997E894A41C0,NA,{},"PENTHOUSE, great city view, 2 Bd, pool & terrace",Apartment,ARS,nightly
1370436,7430271,Entire home/apt,NA,NA,NA,Buenos Aires,0,0,2,1,NA,1762,0,NA,2017-07-10T16:28:25Z,-34.594732,-58.438461,1,0101000020E610000025C9737D1F384DC03DF19C2D204C41C0,NA,"{en,fr,it}",Room at POP hotel Buenos Aires,Bed & Breakfast,ARS,nightly
1132150,2597734,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",11,4.5,2,1,NA,1412,0,NA,2017-07-07T10:55:35Z,-34.584585,-58.419617,1,0101000020E61000003EEC8502B6354DC0B75D68AED34A41C0,NA,"{en,pt}",Gardens of Palermo TOWER - Soho,Apartment,ARS,nightly
7192254,5632049,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",2,0,3,2,NA,1147,0,NA,2017-07-07T10:55:35Z,-34.589411,-58.424359,1,0101000020E6100000B3614D6551364DC08A73D4D1714B41C0,NA,{},Cozy apartment just off main street,Apartment,ARS,nightly
394407,91936,Entire home/apt,NA,NA,NA,"Monserrat, Buenos Aires",46,4.5,5,3,NA,1762,0,NA,2017-07-10T15:37:13Z,-34.610052,-58.38752,1,0101000020E6100000E1455F419A314DC0016E162F164E41C0,NA,{},Stunning Apt in Landmark Building,Apartment,ARS,nightly
1993961,9926246,Entire home/apt,NA,NA,NA,"Chacarita, Buenos Aires",3,5,6,3,NA,1235,0,NA,2017-07-07T13:08:06Z,-34.588665,-58.450895,1,0101000020E6100000087767EDB6394DC061A6ED5F594B41C0,NA,{},Nice flat at Audiovisual district.,Apartment,ARS,nightly
19505963,50683550,Entire home/apt,NA,NA,NA,Palermo,0,0,2,1,NA,1324,0,NA,2017-07-07T10:55:35Z,-34.58277,-58.42291,1,0101000020E6100000609335EA21364DC0828B1535984A41C0,NA,{},Una suite ideal para tomar en viajes de negocios,Apartment,ARS,nightly
8779380,29056371,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",2,0,4,0,NA,1218,0,NA,2017-07-07T10:55:35Z,-34.581311,-58.424305,1,0101000020E6100000BF4351A04F364DC00CE71A66684A41C0,NA,{},"Studio, económico, muy bien ubicado",Condominium,ARS,nightly
1902858,9129761,Entire home/apt,NA,NA,NA,"Recoleta, Capital Federal",103,5,6,3,NA,2642,0,NA,2017-07-10T15:37:13Z,-34.585205,-58.404785,1,0101000020E6100000A774B0FECF334DC0543A58FFE74A41C0,NA,"{en,pt}",Recycled apartment for 6 guests,Apartment,ARS,nightly
18286184,50683550,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",0,0,2,1,NA,1324,0,NA,2017-07-07T10:55:35Z,-34.583709,-58.423458,1,0101000020E6100000629D2ADF33364DC0C0B0FCF9B64A41C0,NA,{},Un lugar encantador en un edificio soñado!,Apartment,ARS,nightly
19521093,4442974,Entire home/apt,NA,NA,NA,Palermo,0,0,2,1,NA,1112,0,NA,2017-07-07T13:08:06Z,-34.583985,-58.434569,1,0101000020E61000007F6DFDF49F374DC0622D3E05C04A41C0,NA,"{en,pt,he}",Dual Loft with Staircase Two Balconies (ID#5555),Apartment,ARS,nightly
15773580,102009312,Entire home/apt,NA,NA,NA,"Palermo, Buenos Aires",0,0,4,3,NA,1235,0,NA,2017-07-07T13:08:06Z,-34.584008,-58.433603,1,0101000020E61000004739984D80374DC01A4D2EC6C04A41C0,NA,{en},Casa en Palermo,House,ARS,nightly
4251075,12122305,Entire home/apt,NA,NA,NA,Buenos Aires,28,4,6,2,NA,1762,0,NA,2017-07-10T15:37:13Z,-34.592437,-58.437,1,0101000020E61000000E2DB29DEF374DC05DF8C1F9D44B41C0,NA,{en},HUGE PRIVATE ROOFTOP WITH JACUZZI !  (PT4),Apartment,ARS,nightly
